Organization,Device,Group,Activity,Description,User,Date
Lab Enviro Test 1,WS-4,Hardware,Rebooted,System rebooted at 'YYYY-MM-DD4T03:20:23Z',,YYYY-MM-DD4T03:21:26.000+0000
Lab Enviro Test 1,WS-4,Script,Completed,"Action completed: System Run Application 'Beacon' From '\\ws-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe' On ALL OS Result: SUCCESS Output: Action: System Run Application 'Beacon' From '\\ws-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe' On ALL OS, Result: Success",,YYYY-MM-DD2T14:12:04.000+0000
Lab Enviro Test 1,WS-4,Script,Started,Action started: System Run Application 'Beacon' From '\\ws-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe' On ALL OS,,YYYY-MM-DD2T14:12:02.971+0000
Lab Enviro Test 1,WS-4,Script,Completed,"Action completed: System Run Application 'Super Advanced EDR Bypasser' From '\\wa-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe' On ALL OS Result: FAILURE Output: Action: System Run Application 'Super Advanced EDR Bypasser' From '\\wa-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe' On ALL OS, Process took to long to complete, Result: Failed ",,YYYY-MM-DD2T07:04:33.000+0000
Lab Enviro Test 1,WS-4,Script,Started,Action started: System Run Application 'Super Advanced EDR Bypasser' From '\\wa-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser2.exe' On ALL OS,,YYYY-MM-DD2T04:04:30.063+0000
Lab Enviro Test 1,WS-4,Script,Completed,"Action completed: System Run Application 'Advanced EDR Bypasser' From '\\ws-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser.exe' On ALL OS Result: SUCCESS Output: Action: System Run Application 'Advanced EDR Bypasser' From '\\ws-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser.exe' On ALL OS, Result: Success",,YYYY-MM-DD2T03:52:59.000+0000
Lab Enviro Test 1,WS-4,Script,Started,Action started: System Run Application 'Advanced EDR Bypasser' From '\\ws-1\file5\SuperSpecializedHighlyAdvancedMalwareBypasser.exe' On ALL OS,,YYYY-MM-DD2T03:52:57.973+0000
Lab Enviro Test 1,WS-4,Hardware,Rebooted,System rebooted at 'YYYY-MM-DD0T03:10:11Z',,YYYY-MM-DD0T03:11:15.000+0000
Lab Enviro Test 1,WS-4,Script,Completed,"Action completed: System Run Application 'Custom2.exe' From '\\ws-1\file5\custom2.exe' On ALL OS Result: SUCCESS Output: Action: System Run Application 'Custom2.exe' From '\\ws-1\file5\custom2.exe' On ALL OS, Result: Success",,YYYY-MM-DDT21:11:12.000+0000
Lab Enviro Test 1,WS-4,Script,Started,Action started: System Run Application 'Custom2.exe' From '\\ws-1\file5\custom2.exe' On ALL OS,,YYYY-MM-DDT21:11:10.800+0000
Lab Enviro Test 1,WS-4,General,Device Created,Device 'WS-4.LAB.local' registered.,,YYYY-MM-DDT17:54:17.838+0000
